file, overhead, unrecovered, run
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs3_nc604.fasta, 1, 301, 0
0024-xlsx.xlsx_bmp_low_entropy_evo_dist_rs3_nc681.fasta, 2, 347, 0
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs3_nc604.fasta, 3, 295, 1
0024-xlsx.xlsx_bmp_low_entropy_evo_dist_rs3_nc681.fasta, 5, 504, 1
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs3_nc604.fasta, 0, 0, 2
0024-xlsx.xlsx_bmp_low_entropy_evo_dist_rs3_nc681.fasta, 1, 342, 2
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs3_nc604.fasta, 0, 0, 3
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs3_nc604.fasta, 1, 321, 4
0024-xlsx.xlsx_bmp_low_entropy_evo_dist_rs3_nc681.fasta, 0, 0, 3
0024-xlsx.xlsx_bmp_low_entropy_evo_dist_rs3_nc681.fasta, 4, 521, 4
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc633.fasta, 1, 289, 0
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc633.fasta, 0, 0, 1
0024-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc713.fasta, 5, 528, 0
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc633.fasta, 5, 481, 2
0024-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc713.fasta, 1, 377, 1
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc633.fasta, 1, 311, 3
0024-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc713.fasta, 0, 0, 2
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc633.fasta, 3, 465, 4
0024-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc713.fasta, 1, 359, 3
0024-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc713.fasta, 1, 353, 4
